City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Taoudenni,ML,22.6783,-3.9836,79.39,18,6,14.16,clear sky
173,Juneau,US,58.3019,-134.4197,46.22,97,100,8.05,moderate rain
174,Te Anau,NZ,-45.4167,167.7167,53.33,44,33,3.2,scattered clouds
175,Arkhipo-Osipovka,RU,44.37,38.52,50.99,73,97,10.09,overcast clouds
176,Hofn,IS,64.2539,-15.2082,42.51,74,100,11.88,overcast clouds
177,Pyinmana,MM,19.7333,96.2167,81.97,65,3,3.18,clear sky
178,Leningradskiy,RU,69.3833,178.4167,30.69,97,100,7.63,overcast clouds
179,Srandakan,ID,-7.9386,110.2506,80.6,81,100,3.94,moderate rain
180,Aktash,RU,50.3,87.7333,24.62,75,100,5.84,overcast clouds
181,Victoria,HK,22.2855,114.1577,82.96,65,43,7.0,scattered clouds
182,Mwinilunga,ZM,-11.7358,24.4293,63.09,51,82,1.74,broken clouds
183,Tubuala,PA,9.5167,-79.0333,78.06,88,100,10.36,moderate rain
184,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,45,8.63,light rain
185,Mandalgovi,MN,45.7625,106.2708,34.38,66,100,11.1,overcast clouds
186,Brest,BY,52.1,23.7,37.36,93,6,4.47,clear sky
187,Pevek,RU,69.7008,170.3133,20.79,94,100,1.95,overcast clouds
188,Pisco,PE,-13.7,-76.2167,61.02,82,13,9.22,mist
189,Whitley Bay,GB,55.0397,-1.4471,52.32,98,40,3.44,scattered clouds
190,Poronaysk,RU,49.2167,143.1167,50.25,42,9,15.66,clear sky
191,Hithadhoo,MV,-0.6,73.0833,81.86,75,100,10.94,overcast clouds
192,Shimoda,JP,34.6667,138.95,72.1,53,4,9.24,clear sky
193,Homer,US,59.6425,-151.5483,46.29,69,0,25.99,clear sky
194,Garissa,KE,-0.4536,39.6401,72.5,81,92,12.68,overcast clouds
195,Georgetown,MY,5.4112,100.3354,87.89,75,20,5.75,few clouds
196,Nikolskoye,RU,59.7035,30.7861,40.91,96,100,3.49,overcast clouds
197,Coihaique,CL,-45.5752,-72.0662,35.55,80,0,0.0,clear sky
198,Saldanha,ZA,-33.0117,17.9442,53.65,84,54,18.37,broken clouds
199,Isla Mujeres,MX,21.2311,-86.731,76.37,69,88,13.24,overcast clouds
200,Namibe,AO,-15.1961,12.1522,65.14,87,41,5.03,scattered clouds
201,Saskylakh,RU,71.9167,114.0833,14.95,97,83,5.17,broken clouds
202,Blagoyevo,RU,63.3667,47.9167,30.27,77,71,14.61,light snow
203,Narsaq,GL,60.9167,-46.05,32.54,68,100,8.28,overcast clouds
204,Chifeng,CN,42.2683,118.9636,63.18,24,0,10.89,clear sky
205,Bud,US,39.447,-86.1758,49.95,47,4,8.57,clear sky
206,Birao,CF,10.2849,22.7882,73.02,73,85,1.3,overcast clouds
207,Basoko,CD,1.2391,23.616,70.3,94,100,3.36,overcast clouds
208,Zhezkazgan,KZ,47.8043,67.7144,37.38,44,0,8.95,clear sky
209,Faanui,PF,-16.4833,-151.75,79.0,76,88,13.13,light rain
210,Luanda,AO,-8.8368,13.2343,75.2,88,75,10.36,broken clouds
211,North Platte,US,41.1239,-100.7654,64.38,29,0,5.01,clear sky
212,Skara,SE,58.3866,13.4384,39.61,92,100,5.01,overcast clouds
213,Green River,US,41.5286,-109.4662,57.6,24,0,1.99,clear sky
214,Loudeac,FR,48.1783,-2.7543,58.48,83,57,20.54,broken clouds
